date,feature_index,NO2
2025-09-30T00:00:00.000Z,0,
2025-10-01T00:00:00.000Z,0,2.7787586077465676E-5
2025-10-02T00:00:00.000Z,0,2.6890827030001674E-5
2025-10-06T00:00:00.000Z,0,4.4054084068384804E-5
2025-10-04T00:00:00.000Z,0,3.9352094002727726E-5
2025-10-03T00:00:00.000Z,0,3.2870467111933974E-5
2025-10-05T00:00:00.000Z,0,2.645976576332032E-5
2025-09-29T00:00:00.000Z,0,4.008924115623813E-5
2025-11-20T00:00:00.000Z,0,
2025-11-19T00:00:00.000Z,0,
2025-11-17T00:00:00.000Z,0,
2025-11-22T00:00:00.000Z,0,
2025-11-23T00:00:00.000Z,0,4.20247160946019E-5
2025-11-18T00:00:00.000Z,0,
2025-11-21T00:00:00.000Z,0,3.4992506698472425E-5
2025-11-16T00:00:00.000Z,0,
2026-01-03T00:00:00.000Z,0,
2026-01-04T00:00:00.000Z,0,2.3757266717439052E-5
2026-01-06T00:00:00.000Z,0,
2026-01-10T00:00:00.000Z,0,
2026-01-07T00:00:00.000Z,0,
2026-01-08T00:00:00.000Z,0,2.3441693530104305E-5
2026-01-05T00:00:00.000Z,0,
2026-01-09T00:00:00.000Z,0,4.1955039099169276E-5
2026-04-06T00:00:00.000Z,0,3.1993734955904075E-5
2026-04-02T00:00:00.000Z,0,3.57240169250872E-5
2026-04-05T00:00:00.000Z,0,2.780817330978224E-5
2026-04-04T00:00:00.000Z,0,1.726415985103813E-5
2026-04-08T00:00:00.000Z,0,1.594294206535613E-5
2026-04-01T00:00:00.000Z,0,3.614186389313545E-5
2026-04-03T00:00:00.000Z,0,2.9849821567040634E-5
2026-04-07T00:00:00.000Z,0,1.8033789319815697E-5
2026-06-22T00:00:00.000Z,0,3.895614342278956E-5
2026-06-26T00:00:00.000Z,0,4.95704535911928E-5
2026-06-20T00:00:00.000Z,0,4.4175270401562255E-5
2026-06-21T00:00:00.000Z,0,4.309280047891662E-5
2026-06-27T00:00:00.000Z,0,3.752191630403765E-5
2026-06-23T00:00:00.000Z,0,
2026-06-24T00:00:00.000Z,0,4.0719600860938954E-5
2026-06-25T00:00:00.000Z,0,3.205155735486187E-5
2025-12-04T00:00:00.000Z,0,
2025-12-05T00:00:00.000Z,0,2.2305623229170268E-5
2025-12-02T00:00:00.000Z,0,3.28346710115771E-5
2025-12-06T00:00:00.000Z,0,
2025-12-09T00:00:00.000Z,0,
2025-12-08T00:00:00.000Z,0,3.073476909776218E-5
2025-12-03T00:00:00.000Z,0,1.9927396351704374E-5
2025-12-07T00:00:00.000Z,0,2.282901069145951E-5
2026-08-28T00:00:00.000Z,0,3.624517248681514E-5
2026-08-25T00:00:00.000Z,0,3.462995509835309E-5
2026-08-27T00:00:00.000Z,0,3.675236166600371E-5
2026-08-24T00:00:00.000Z,0,4.786088720720727E-5
2026-08-29T00:00:00.000Z,0,3.6439803989196665E-5
2026-08-26T00:00:00.000Z,0,3.511737668304704E-5
2026-08-30T00:00:00.000Z,0,2.596972505367982E-5
2026-08-23T00:00:00.000Z,0,3.342306763443048E-5
2026-03-19T00:00:00.000Z,0,2.1933209518465445E-5
2026-03-16T00:00:00.000Z,0,2.9960653250782343E-5
2026-03-21T00:00:00.000Z,0,
2026-03-22T00:00:00.000Z,0,
2026-03-23T00:00:00.000Z,0,2.8103832846682053E-5
2026-03-20T00:00:00.000Z,0,
2026-03-17T00:00:00.000Z,0,1.9416218144803733E-5
2026-03-18T00:00:00.000Z,0,3.4410827011972865E-5
2026-07-31T00:00:00.000Z,0,3.8951282840571365E-5
2026-08-01T00:00:00.000Z,0,3.538440554014718E-5
2026-08-06T00:00:00.000Z,0,4.359968825156102E-5
2026-07-30T00:00:00.000Z,0,4.2389885213476824E-5
2026-08-04T00:00:00.000Z,0,
2026-08-05T00:00:00.000Z,0,3.336292761210084E-5
2026-08-02T00:00:00.000Z,0,2.695554534371835E-5
2026-08-03T00:00:00.000Z,0,2.8775805427964467E-5
2025-12-19T00:00:00.000Z,0,
2025-12-23T00:00:00.000Z,0,2.001130410049386E-5
2025-12-18T00:00:00.000Z,0,
2025-12-25T00:00:00.000Z,0,1.5838267994267345E-5
2025-12-21T00:00:00.000Z,0,2.732131133598159E-5
2025-12-24T00:00:00.000Z,0,2.13369021366816E-5
2025-12-20T00:00:00.000Z,0,
2025-12-22T00:00:00.000Z,0,2.3577018055220833E-5
2026-05-08T00:00:00.000Z,0,3.460572784206306E-5
2026-05-06T00:00:00.000Z,0,6.129490874526609E-5
2026-05-10T00:00:00.000Z,0,2.9143178027071473E-5
2026-05-03T00:00:00.000Z,0,
2026-05-07T00:00:00.000Z,0,4.999509008030145E-5
2026-05-09T00:00:00.000Z,0,3.461444965877389E-5
2026-05-04T00:00:00.000Z,0,5.732002561368669E-5
2026-05-05T00:00:00.000Z,0,2.9137886899248272E-5
2026-07-21T00:00:00.000Z,0,3.1159048765922694E-5
2026-07-15T00:00:00.000Z,0,4.1914485518645964E-5
